arch_a,arch_b,acc_a,acc_b,only_a_right,only_b_right,p_raw,n_seeds,p_holm,significant,label_mode
cnn_small,convnext_tiny,0.9420808232931727,0.9566181392235609,639,1334,3.5218985915687406e-56,9,2.3244530704353688e-54,True,soft
cnn_small,densenet121,0.9420808232931727,0.9564298862115127,619,1305,3.7075747187937952e-56,9,2.409923567215967e-54,True,soft
cnn_small,effnetv2_s,0.9420808232931727,0.9565553882195449,664,1356,2.156415371431488e-54,9,1.3801058377161522e-52,True,soft
cnn_small,resnet50,0.9420808232931727,0.9556559571619813,604,1253,3.7433317244443674e-52,9,2.3582989863999513e-50,True,soft
cnn_small,vit_small,0.9420808232931727,0.9551748661311914,584,1210,2.775585463579801e-50,9,1.7208629874194766e-48,True,soft
cnn_small,deit3_small,0.9420808232931727,0.9555722891566265,650,1295,3.526730861272125e-49,9,2.1513058253759962e-47,True,soft
cnn_small,vit_base,0.9420808232931727,0.9548401941097724,644,1254,3.652385836615505e-45,9,2.191431501969303e-43,True,soft
cnn_small,swin_tiny,0.9420808232931727,0.954735609103079,700,1305,4.3514886291391865e-42,9,2.56737829119212e-40,True,soft
cnn_small,mobilenetv3,0.9420808232931727,0.9537315930388219,624,1181,9.571254016593073e-40,9,5.551327329623983e-38,True,soft
cnn_deep_reg,convnext_tiny,0.9463688085676037,0.9566181392235609,558,1048,9.163850737224364e-35,5,5.223394920217887e-33,True,soft
cnn_deep_reg,densenet121,0.9463688085676037,0.9564298862115127,548,1029,3.8241876936295407e-34,5,2.1415451084325427e-32,True,soft
cnn_deep_reg,effnetv2_s,0.9463688085676037,0.9565553882195449,599,1086,8.915119337974018e-33,5,4.90331563588571e-31,True,soft
cnn_deep_reg,resnet50,0.9463688085676037,0.9556559571619813,516,960,3.274598434947634e-31,5,1.7682831548717223e-29,True,soft
cnn_deep_reg,deit3_small,0.9463688085676037,0.9555722891566265,572,1012,1.222217723991692e-28,5,6.477753937155967e-27,True,soft
cnn_deep_reg,vit_small,0.9463688085676037,0.9551748661311914,525,946,2.8392113778500613e-28,5,1.476389916482032e-26,True,soft
cnn_deep_reg,vit_base,0.9463688085676037,0.9548401941097724,590,995,1.914493858874867e-24,5,9.763918680261822e-23,True,soft
cnn_deep,cnn_small,0.9492135207496654,0.9420808232931727,776,435,7.904783126140154e-23,5,3.952391563070077e-21,True,soft
cnn_deep_reg,swin_tiny,0.9463688085676037,0.954735609103079,642,1042,1.5299068676023664e-22,5,7.496543651251596e-21,True,soft
cnn_deep,convnext_tiny,0.9492135207496654,0.9566181392235609,545,899,9.98407370976629e-21,5,4.792355380687819e-19,True,soft
cnn_deep,densenet121,0.9492135207496654,0.9564298862115127,532,877,3.2505905127790914e-20,5,1.527777541006173e-18,True,soft
cnn_deep_reg,mobilenetv3,0.9463688085676037,0.9537315930388219,564,916,4.866280791608074e-20,5,2.238489164139714e-18,True,soft
cnn_deep,effnetv2_s,0.9492135207496654,0.9565553882195449,581,932,1.5888199427161598e-19,5,7.149689742222719e-18,True,soft
cnn_deep,resnet50,0.9492135207496654,0.9556559571619813,505,813,1.983392494969975e-17,5,8.72692697786789e-16,True,soft
cnn_deep,deit3_small,0.9492135207496654,0.9555722891566265,581,885,1.992906756134612e-15,5,8.569499051378831e-14,True,soft
cnn_deep,vit_small,0.9492135207496654,0.9551748661311914,518,803,4.364456606720513e-15,5,1.8330717748226157e-13,True,soft
cnn_deep,vit_base,0.9492135207496654,0.9548401941097724,576,845,1.0007405067540223e-12,5,4.1030360776914915e-11,True,soft
cnn_deep,swin_tiny,0.9492135207496654,0.954735609103079,625,889,1.2357439884234563e-11,5,4.942975953693825e-10,True,soft
cnn_deep_reg,cnn_small,0.9463688085676037,0.9420808232931727,596,391,7.205560938843322e-11,5,2.8101687661488958e-09,True,soft
cnn_deep,mobilenetv3,0.9492135207496654,0.9537315930388219,563,779,4.071123648058878e-09,5,1.5470269862623737e-07,True,soft
cnn_deep,cnn_deep_reg,0.9492135207496654,0.9463688085676037,403,267,1.6700087188345574e-07,5,6.179032259687863e-06,True,soft
convnext_tiny,mobilenetv3,0.9566181392235609,0.9537315930388219,650,512,5.736768409195763e-05,13,0.0020652366273104746,True,soft
effnetv2_s,mobilenetv3,0.9565553882195449,0.9537315930388219,672,537,0.00011454428748887967,5,0.004009050062110789,True,soft
densenet121,mobilenetv3,0.9564298862115127,0.9537315930388219,629,500,0.00013713828608976134,5,0.004662701727051886,True,soft
convnext_tiny,swin_tiny,0.9566181392235609,0.954735609103079,511,421,0.003531292542823566,13,0.11653265391317769,False,soft
mobilenetv3,resnet50,0.9537315930388219,0.9556559571619813,489,581,0.005378995068019776,5,0.17212784217663282,False,soft
convnext_tiny,vit_base,0.9566181392235609,0.9548401941097724,573,488,0.0098808821091374,13,0.3063073453832594,False,soft
effnetv2_s,swin_tiny,0.9565553882195449,0.954735609103079,607,520,0.010383055807997216,5,0.31149167423991647,False,soft
