run_a,run_b,acc_a,acc_b,only_a_right,only_b_right,p_value,significant
cnn_deep_soft_d4_s128_full_bce_nfull_seed0,cnn_deep_hard_d4_s128_full_bce_nfull_seed0,0.9463897255689424,0.9407630522088354,869,600,2.3562301162300914e-12,True
cnn_deep_reg_soft_d4_s128_full_bce_nfull_seed0,cnn_deep_reg_hard_d4_s128_full_bce_nfull_seed0,0.9451765394912985,0.9392779451137885,835,553,3.7864939432189567e-14,True
cnn_small_soft_d4_s128_full_bce_nfull_seed0,cnn_small_hard_d4_s128_full_bce_nfull_seed0,0.9389641900937081,0.9327727576974565,1062,766,4.6932397136931355e-12,True
convnext_tiny_soft_d4_s112_full_bce_nfull_seed0,convnext_tiny_hard_d4_s224_full_bce_nfull_seed0,0.953459672021419,0.9473519076305221,998,706,1.589302297624391e-12,True
convnext_tiny_soft_d4_s112_full_bce_nfull_seed0,convnext_tiny_soft_none_s224_full_bce_nfull_seed0,0.953459672021419,0.9524974899598394,815,769,0.25818809266014897,False
convnext_tiny_soft_none_s224_full_bce_nfull_seed0_op,convnext_tiny_soft_d4_s112_full_bce_nfull_seed0,0.9542126840696118,0.953459672021419,710,674,0.3468077375073784,False
deit3_small_soft_d4_s224_full_bce_nfull_seed0,deit3_small_hard_d4_s224_full_bce_nfull_seed0,0.9538989290495314,0.9471427376171352,994,671,2.4559691457240703e-15,True
densenet121_soft_d4_s224_full_bce_nfull_seed0,densenet121_hard_d4_s224_full_bce_nfull_seed0,0.9537525100401606,0.9484186746987951,872,617,4.1620394719352704e-11,True
effnetv2_s_soft_d4_s224_full_bce_nfull_seed0,effnetv2_s_hard_d4_s224_full_bce_nfull_seed0,0.9546728580990629,0.9473309906291834,985,634,2.490814393355207e-18,True
mobilenetv3_soft_d4_s224_full_bce_nfull_seed0,mobilenetv3_hard_d4_s224_full_bce_nfull_seed0,0.9510751338688086,0.9463060575635877,789,561,5.922506995869525e-10,True
resnet50_soft_d4_s112_full_bce_nfull_seed0,resnet50_hard_d4_s224_full_bce_nfull_seed0,0.952183734939759,0.9474774096385542,1005,780,1.104603895054355e-07,True
resnet50_soft_d4_s112_full_bce_nfull_seed0,resnet50_soft_none_s224_full_bce_nfull_seed0,0.952183734939759,0.9441934404283802,1157,775,3.432934849021157e-18,True
resnet50_soft_none_s224_full_bce_nfull_seed0_op,resnet50_soft_d4_s112_full_bce_nfull_seed0,0.9526229919678715,0.952183734939759,886,865,0.6326948071182811,False
swin_tiny_soft_d4_s224_full_bce_nfull_seed0,swin_tiny_hard_d4_s224_full_bce_nfull_seed0,0.9538570950468541,0.9473728246318608,864,554,1.746175922415968e-16,True
vit_base_soft_d4_s224_full_bce_nfull_seed0,vit_base_hard_d4_s224_full_bce_nfull_seed0,0.9523510709504686,0.9463478915662651,1004,717,4.8548305171787695e-12,True
vit_small_soft_d4_s112_full_bce_nfull_seed0,vit_small_hard_d4_s224_full_bce_nfull_seed0,0.946619812583668,0.945615796519411,1042,994,0.297586601518528,False
vit_small_soft_d4_s112_full_bce_nfull_seed0,vit_small_soft_none_s224_full_bce_nfull_seed0,0.946619812583668,0.9452602074966533,1204,1139,0.18609322116484217,False
vit_small_soft_none_s224_full_bce_nfull_seed0_op,vit_small_soft_d4_s112_full_bce_nfull_seed0,0.9508032128514057,0.946619812583668,974,774,1.8916536166327308e-06,True
densenet121_soft_d4_s224_full_bce_nfull_seed0,cnn_deep_soft_d4_s128_full_bce_nfull_seed0,0.9537525100401606,0.9463897255689424,1066,714,7.034782118384627e-17,True
densenet121_soft_d4_s224_full_bce_nfull_seed0,swin_tiny_soft_d4_s224_full_bce_nfull_seed0,0.9537525100401606,0.9538570950468541,670,675,0.9131535587878091,False
cnn_deep_soft_d4_s128_full_bce_nfull_seed0,swin_tiny_soft_d4_s224_full_bce_nfull_seed0,0.9463897255689424,0.9538570950468541,734,1091,6.285783522602604e-17,True
