run_id,full_accuracy,auc_coverage,coverage_at_95,coverage_at_98,coverage_at_99,arch,dataset,label_mode,policy,size,finetune,loss,train_size,seed,orientation_pooled,pretrained
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,0.9407630522088354,0.9938158432381573,0.9769494645247657,0.8802710843373494,0.8158885542168675,cnn_deep,gz2,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed1,0.9394661981258366,0.9934397228291602,0.9740629183400268,0.8725108768406962,0.802376171352075,cnn_deep,gz2,hard,d4,128,full,bce,0,1,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed2,0.9398636211512718,0.9937201553931457,0.9756526104417671,0.8746862449799196,0.8140269410977242,cnn_deep,gz2,hard,d4,128,full,bce,0,2,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed3,0.9403656291834003,0.9937169973410297,0.9773259705488622,0.8759203480589023,0.8147172021419009,cnn_deep,gz2,hard,d4,128,full,bce,0,3,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed4,0.9404911311914324,0.993546258154664,0.9751924364123159,0.8739750669344043,0.8090905287817939,cnn_deep,gz2,hard,d4,128,full,bce,0,4,False,True
cnn_deep_reg_hard_d4_s128_full_bce_nfull_seed0,0.9392779451137885,0.9932275468086291,0.9741465863453815,0.8661311914323963,0.8025225903614458,cnn_deep_reg,gz2,hard,d4,128,full,bce,0,0,False,True
cnn_deep_reg_hard_d4_s128_full_bce_nfull_seed1,0.9388805220883534,0.9932170289608041,0.9729543172690763,0.8669469544846051,0.8047607095046854,cnn_deep_reg,gz2,hard,d4,128,full,bce,0,1,False,True
cnn_deep_reg_hard_d4_s128_full_bce_nfull_seed2,0.9399682061579652,0.9934792776052902,0.9751506024096386,0.8712140227576974,0.8041331994645248,cnn_deep_reg,gz2,hard,d4,128,full,bce,0,2,False,True
cnn_deep_reg_hard_d4_s128_full_bce_nfull_seed3,0.9409931392235609,0.9937201622330745,0.9784973226238286,0.8779911311914324,0.8122280789825971,cnn_deep_reg,gz2,hard,d4,128,full,bce,0,3,False,True
cnn_deep_reg_hard_d4_s128_full_bce_nfull_seed4,0.9395080321285141,0.9934397177620437,0.9743975903614458,0.8723644578313253,0.807940093708166,cnn_deep_reg,gz2,hard,d4,128,full,bce,0,4,False,True
cnn_deep_reg_soft_d4_s128_full_bce_nfull_seed0,0.9451765394912985,0.9947123307432736,0.9891231593038822,0.8949339022757697,0.8381024096385542,cnn_deep_reg,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_deep_reg_soft_d4_s128_full_bce_nfull_seed1,0.9454902945113789,0.994616795384016,0.9892277443105756,0.8922983601070951,0.835906124497992,cnn_deep_reg,gz2,soft,d4,128,full,bce,0,1,False,True
cnn_deep_reg_soft_d4_s128_full_bce_nfull_seed2,0.9452183734939759,0.9946135116626844,0.9885584002677377,0.8931977911646586,0.8365127175368139,cnn_deep_reg,gz2,soft,d4,128,full,bce,0,2,False,True
cnn_deep_reg_soft_d4_s128_full_bce_nfull_seed3,0.945281124497992,0.9947395216477419,0.9891859103078983,0.8969628514056225,0.8364499665327979,cnn_deep_reg,gz2,soft,d4,128,full,bce,0,3,False,True
cnn_deep_reg_soft_d4_s128_full_bce_nfull_seed4,0.9443607764390897,0.9946359871405307,0.9867804551539491,0.8950594042838019,0.8397548527443106,cnn_deep_reg,gz2,soft,d4,128,full,bce,0,4,False,True
cnn_deep_soft_d4_s128_full_bce_nfull_seed0,0.9463897255689424,0.9949522387334869,0.9916122824631861,0.9000585676037484,0.8438755020080321,cnn_deep,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_deep_soft_d4_s128_full_bce_nfull_seed1,0.9467453145917001,0.994895256645284,0.9921979585006694,0.9011880856760375,0.842411311914324,cnn_deep,gz2,soft,d4,128,full,bce,0,1,False,True
cnn_deep_soft_d4_s128_full_bce_nfull_seed2,0.9455321285140562,0.9948964273190639,0.9900225903614458,0.9007069946452476,0.8439800870147256,cnn_deep,gz2,soft,d4,128,full,bce,0,2,False,True
cnn_deep_soft_d4_s128_full_bce_nfull_seed3,0.9465779785809906,0.9949271767448953,0.9925326305220884,0.8996402275769746,0.8415955488621151,cnn_deep,gz2,soft,d4,128,full,bce,0,3,False,True
cnn_deep_soft_d4_s128_full_bce_nfull_seed4,0.9465361445783133,0.9948638105359648,0.9919051204819277,0.8981969544846051,0.8404869477911646,cnn_deep,gz2,soft,d4,128,full,bce,0,4,False,True
