run_id,spearman_vs_votefraction,mae_vs_votefraction,pearson_vs_votefraction,arch,dataset,label_mode,policy,size,finetune,loss,train_size,seed,orientation_pooled,pretrained
cnn_deep_hard_d4_s128_full_bce_nfull_seed0,0.8812444530455493,0.14734976226519123,0.9161610549224558,cnn_deep,gz2,hard,d4,128,full,bce,0,0,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed1,0.8787829522112025,0.14719381370527593,0.9146724410108792,cnn_deep,gz2,hard,d4,128,full,bce,0,1,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed2,0.8805074116108532,0.14561773168019626,0.9175323181946818,cnn_deep,gz2,hard,d4,128,full,bce,0,2,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed3,0.8800092299060686,0.14736914774887896,0.9158318988099354,cnn_deep,gz2,hard,d4,128,full,bce,0,3,False,True
cnn_deep_hard_d4_s128_full_bce_nfull_seed4,0.8769665177281396,0.14693247451842273,0.9152362768792718,cnn_deep,gz2,hard,d4,128,full,bce,0,4,False,True
cnn_deep_reg_hard_d4_s128_full_bce_nfull_seed0,0.8810533284409112,0.14038170450190907,0.9199921149782834,cnn_deep_reg,gz2,hard,d4,128,full,bce,0,0,False,True
cnn_deep_reg_hard_d4_s128_full_bce_nfull_seed1,0.8833112997177557,0.14137121580882436,0.9189940674235709,cnn_deep_reg,gz2,hard,d4,128,full,bce,0,1,False,True
cnn_deep_reg_hard_d4_s128_full_bce_nfull_seed2,0.8819145100831023,0.14189757579381637,0.9196525375013107,cnn_deep_reg,gz2,hard,d4,128,full,bce,0,2,False,True
cnn_deep_reg_hard_d4_s128_full_bce_nfull_seed3,0.8836677049951261,0.14160884562507817,0.9214145955161753,cnn_deep_reg,gz2,hard,d4,128,full,bce,0,3,False,True
cnn_deep_reg_hard_d4_s128_full_bce_nfull_seed4,0.8829830762502163,0.14076527286075816,0.9205368784814504,cnn_deep_reg,gz2,hard,d4,128,full,bce,0,4,False,True
cnn_deep_reg_soft_d4_s128_full_bce_nfull_seed0,0.9145149985278268,0.06066222300437631,0.9602993588220443,cnn_deep_reg,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_deep_reg_soft_d4_s128_full_bce_nfull_seed1,0.9146732291995627,0.06094053103724351,0.9600167908785526,cnn_deep_reg,gz2,soft,d4,128,full,bce,0,1,False,True
cnn_deep_reg_soft_d4_s128_full_bce_nfull_seed2,0.9147012652388173,0.060705962781586076,0.9600942966646508,cnn_deep_reg,gz2,soft,d4,128,full,bce,0,2,False,True
cnn_deep_reg_soft_d4_s128_full_bce_nfull_seed3,0.9151887111455217,0.06032646332442218,0.9607378170961574,cnn_deep_reg,gz2,soft,d4,128,full,bce,0,3,False,True
cnn_deep_reg_soft_d4_s128_full_bce_nfull_seed4,0.9146413177906866,0.06081599647796628,0.9600361615022985,cnn_deep_reg,gz2,soft,d4,128,full,bce,0,4,False,True
cnn_deep_soft_d4_s128_full_bce_nfull_seed0,0.9151650013471893,0.05968690869425286,0.9617195851967335,cnn_deep,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_deep_soft_d4_s128_full_bce_nfull_seed1,0.9152612800189897,0.059733502779680585,0.9615536762278057,cnn_deep,gz2,soft,d4,128,full,bce,0,1,False,True
cnn_deep_soft_d4_s128_full_bce_nfull_seed2,0.9150880679544703,0.059737541549809016,0.9615215386448089,cnn_deep,gz2,soft,d4,128,full,bce,0,2,False,True
cnn_deep_soft_d4_s128_full_bce_nfull_seed3,0.9155722567141562,0.05943636101437488,0.9619560161108223,cnn_deep,gz2,soft,d4,128,full,bce,0,3,False,True
cnn_deep_soft_d4_s128_full_bce_nfull_seed4,0.9148775194984469,0.059686691838938474,0.961699071983586,cnn_deep,gz2,soft,d4,128,full,bce,0,4,False,True
cnn_small_hard_d4_s128_full_bce_nfull_seed0,0.8769580959768235,0.1450034163355655,0.9085941511291521,cnn_small,gz2,hard,d4,128,full,bce,0,0,False,True
cnn_small_hard_d4_s128_full_bce_nfull_seed1,0.8736457108169131,0.14423261217453717,0.9085607081203607,cnn_small,gz2,hard,d4,128,full,bce,0,1,False,True
cnn_small_hard_d4_s128_full_bce_nfull_seed2,0.874994193387089,0.14405228654469568,0.9085967582872899,cnn_small,gz2,hard,d4,128,full,bce,0,2,False,True
cnn_small_hard_d4_s128_full_bce_nfull_seed3,0.8752309296955509,0.14539235940938894,0.9092607734382268,cnn_small,gz2,hard,d4,128,full,bce,0,3,False,True
cnn_small_hard_d4_s128_full_bce_nfull_seed4,0.8774736227427938,0.14490859491604827,0.9087772690438273,cnn_small,gz2,hard,d4,128,full,bce,0,4,False,True
cnn_small_soft_d4_s128_full_bce_nfull_seed0,0.9064117894826527,0.06602870408601771,0.9515954159082878,cnn_small,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_small_soft_d4_s128_full_bce_nfull_seed1,0.905696866522838,0.06740317140378119,0.9490959021814037,cnn_small,gz2,soft,d4,128,full,bce,0,1,False,True
cnn_small_soft_d4_s128_full_bce_nfull_seed2,0.9052788035086681,0.06806229221712742,0.9481374741080282,cnn_small,gz2,soft,d4,128,full,bce,0,2,False,True
cnn_small_soft_d4_s128_full_bce_nfull_seed3,0.9058352769672289,0.06660576268849945,0.9503985789611518,cnn_small,gz2,soft,d4,128,full,bce,0,3,False,True
cnn_small_soft_d4_s128_full_bce_nfull_seed4,0.9053555742074398,0.06686485845366645,0.9501421224315851,cnn_small,gz2,soft,d4,128,full,bce,0,4,False,True
cnn_small_soft_d4_s64_full_bce_nfull_seed0,0.9047734241795622,0.06807351749741067,0.9481179281365357,cnn_small,gz2,soft,d4,64,full,bce,0,0,False,True
cnn_small_soft_d4_s64_full_bce_nfull_seed1,0.9032772176381317,0.07067304906073202,0.9432560596570237,cnn_small,gz2,soft,d4,64,full,bce,0,1,False,True
cnn_small_soft_d4_s96_full_bce_nfull_seed0,0.9063901558917223,0.06665665214336428,0.9507257363547854,cnn_small,gz2,soft,d4,96,full,bce,0,0,False,True
cnn_small_soft_d4_s96_full_bce_nfull_seed1,0.9069797825581126,0.06639049845044319,0.9510843815587524,cnn_small,gz2,soft,d4,96,full,bce,0,1,False,True
convnext_tiny_hard_conf_d4_s224_full_bce_nfull_seed0,0.8451467522705969,0.18607807617481753,0.8759468848698297,convnext_tiny,gz2,hard_conf,d4,224,full,bce,0,0,False,True
convnext_tiny_hard_conf_d4_s224_full_bce_nfull_seed1,0.8788186351040292,0.18468965439538793,0.87614704848974,convnext_tiny,gz2,hard_conf,d4,224,full,bce,0,1,False,True
