knob,level_a,level_b,metric,n_pairs,mean_a,mean_b,mean_difference,statistic,p_value,significant
label_mode,soft,hard,test_accuracy,80,0.9464148259705489,0.9396756296017404,0.006739196368808554,0.0,7.847449917393515e-15,True
label_mode,soft,hard,test_auc_roc,80,0.9875001467070141,0.9844495735134225,0.00305057319359181,0.0,7.849526548031477e-15,True
label_mode,soft,hard,test_ece,80,0.13878265255379554,0.01540620151348444,0.12337645104031111,0.0,7.849526548031477e-15,True
label_mode,soft_w,soft,test_accuracy,9,0.9536618697010264,0.9535944704744905,6.73992265357828e-05,22.0,1.0,False
label_mode,soft_w,soft,test_auc_roc,9,0.9910779030972243,0.9910448444171922,3.305868003189438e-05,12.0,0.25,False
label_mode,soft_w,soft,test_ece,9,0.14304686816774578,0.14307365432414454,-2.678615639878676e-05,19.0,0.734375,False
label_mode,hard_conf,hard,test_accuracy,9,0.942810594228767,0.9473821210769002,-0.0045715268481332965,0.0,0.00390625,True
label_mode,hard_conf,hard,test_auc_roc,9,0.9866475360934311,0.988748869797507,-0.0021013337040758115,0.0,0.00390625,True
label_mode,hard_conf,hard,test_ece,9,0.04547750470806286,0.010219570964792733,0.03525793374327014,0.0,0.00390625,True
policy,d4,none,test_accuracy,9,0.9535944704744905,0.9465942473598096,0.007000223114680959,0.0,0.00390625,True
policy,d4,none,test_auc_roc,9,0.9910448444171922,0.9891798847747195,0.0018649596424728336,0.0,0.00390625,True
policy,d4,none,test_ece,9,0.14307365432414454,0.13961265864261443,0.0034609956815301384,9.0,0.12890625,False
policy,d4,flip,test_accuracy,9,0.9535944704744905,0.9513377584411722,0.0022567120333184284,0.0,0.011718685599768628,True
policy,d4,flip,test_auc_roc,9,0.9910448444171922,0.990425986990711,0.0006188574264810947,0.0,0.00390625,True
policy,d4,flip,test_ece,9,0.14307365432414454,0.1446387526126665,-0.0015650982885219557,17.0,0.5703125,False
policy,d4_photo,d4,test_accuracy,9,0.9544543916406365,0.9535944704744905,0.0008599211661460456,6.0,0.0546875,False
policy,d4_photo,d4,test_auc_roc,9,0.9913814547075914,0.9910448444171922,0.0003366102903989729,2.0,0.01171875,True
policy,d4_photo,d4,test_ece,9,0.14491845124433564,0.14307365432414454,0.0018447969201910658,9.0,0.12890625,False
finetune,full,frozen,test_accuracy,6,0.9535886601963409,0.8858036311914325,0.06778502900490851,0.0,0.03125,True
finetune,full,frozen,test_auc_roc,6,0.9910423630185686,0.9417839968124285,0.04925836620614014,0.0,0.03125,True
finetune,full,frozen,test_ece,6,0.14230905425792112,0.10992404153001974,0.0323850127279014,0.0,0.03125,True
finetune,full,partial,test_accuracy,6,0.9535886601963409,0.9266998549754576,0.026888805220883494,0.0,0.03125,True
finetune,full,partial,test_auc_roc,6,0.9910423630185686,0.976883835765379,0.014158527253189649,0.0,0.03125,True
finetune,full,partial,test_ece,6,0.14230905425792112,0.12490899249138217,0.017400061766538962,0.0,0.03125,True
loss,focal,bce,test_accuracy,6,0.9522290551093263,0.9535886601963409,-0.0013596050870146963,0.0,0.03125,True
loss,focal,bce,test_auc_roc,6,0.9906698758896222,0.9910423630185686,-0.0003724871289463305,0.0,0.03125,True
loss,focal,bce,test_ece,6,0.05496957687323865,0.14230905425792112,-0.08733947738468247,0.0,0.03125,True
loss,smooth,bce,test_accuracy,6,0.9533027945113787,0.9535886601963409,-0.0002858656849621018,7.0,0.5625,False
loss,smooth,bce,test_auc_roc,6,0.9910183497823198,0.9910423630185686,-2.4013236248843217e-05,5.0,0.3125,False
loss,smooth,bce,test_ece,6,0.17457895888619676,0.14230905425792112,0.032269904628275614,0.0,0.03125,True
orientation_pooled,True,False,test_accuracy,9,0.9525091105161386,0.9465942473598096,0.0059148631563290905,0.0,0.00390625,True
orientation_pooled,True,False,test_auc_roc,9,0.9908680895856973,0.9891798847747195,0.001688204810977571,0.0,0.00390625,True
orientation_pooled,True,False,test_ece,9,0.1434204170427007,0.13961265864261443,0.0038077584000862454,13.0,0.30078125,False
pretrained,True,False,test_accuracy,9,0.9535944704744905,0.9442771084337349,0.009317362040755665,0.0,0.00390625,True
pretrained,True,False,test_auc_roc,9,0.9910448444171922,0.9869013665930146,0.004143477824177714,0.0,0.00390625,True
pretrained,True,False,test_ece,9,0.14307365432414454,0.13766396872385112,0.005409685600293451,0.0,0.00390625,True
