accuracy_on_sample,arch,background_excess,background_excess_high_agreement,background_excess_low_agreement,background_reliance,background_reliance_high_agreement,background_reliance_low_agreement,deletion_auc,faithfulness,footprint_fraction,footprint_high_agreement,footprint_low_agreement,insertion_auc,label_mode,method,n,run_id
0.905,cnn_deep,-0.045077690197048347,0.07135929025663182,-0.13443630310336105,0.5622265315083381,0.6616376845511394,0.48593425126618833,0.6106103996932507,0.20625696703791618,0.3928924560546875,0.41433181762695315,0.37859954833984377,0.8168673667311669,hard,gradcam,200,cnn_deep_hard_d4_s128_full_bce_nfull_seed0
0.915,cnn_deep,-0.0714925139660653,0.04253365065795669,-0.16045798306832423,0.5377747326099378,0.6343374028586609,0.46243462725104395,0.7201958526670933,0.1614886564016342,0.3928924560546875,0.41433181762695315,0.37859954833984377,0.8816845090687275,soft,gradcam,200,cnn_deep_soft_d4_s128_full_bce_nfull_seed0
0.92,cnn_deep_reg,-0.11357561132498527,-0.004664604699982336,-0.2045645535686586,0.48836741130432515,0.583777186256457,0.40865797906583506,0.601527880653739,0.2119410666078329,0.3928924560546875,0.41433181762695315,0.37859954833984377,0.8134689472615719,hard,gradcam,200,cnn_deep_reg_hard_d4_s128_full_bce_nfull_seed0
0.915,cnn_deep_reg,-0.2593453615182368,-0.1529922630517069,-0.3527285699278728,0.34688751693143854,0.436108044836748,0.26854754120970337,0.7877890379726886,0.07365869149565697,0.3928924560546875,0.41433181762695315,0.37859954833984377,0.8614477294683457,soft,gradcam,200,cnn_deep_reg_soft_d4_s128_full_bce_nfull_seed0
0.885,cnn_small,-0.018745272725299217,0.035857900846081696,-0.05482236954924732,0.590576567622483,0.6248100426851864,0.5679580215989112,0.6373697880655527,0.15673074714839458,0.3928924560546875,0.41433181762695315,0.37859954833984377,0.7941005352139473,hard,gradcam,200,cnn_small_hard_d4_s128_full_bce_nfull_seed0
0.91,cnn_small,-0.167323661356395,-0.074414971676038,-0.23481393593552227,0.4425039326710982,0.5124895788515593,0.39166530289849893,0.7836824421584606,0.12718104138970376,0.3928924560546875,0.41433181762695315,0.37859954833984377,0.9108634835481644,soft,gradcam,200,cnn_small_soft_d4_s128_full_bce_nfull_seed0
0.915,convnext_tiny,-0.3347925457784895,-0.07243833269144587,-0.5096953545031851,0.3252576774357962,0.569117391160595,0.16268453495259708,0.7994349698349833,0.1446921742334962,0.3399497767857143,0.3584442761479592,0.3276201105442177,0.9441271440684795,hard,gradcam,200,convnext_tiny_hard_d4_s224_full_bce_nfull_seed0
0.975,convnext_tiny,-0.5435812704844946,-0.4776530578660917,-0.5875334122300965,0.12232723158820957,0.18386589541834714,0.08130145570145123,0.8507392212748528,0.13464847654104234,0.3340914979272959,0.33848104671556123,0.3311651320684524,0.9853876978158951,soft,gradcam,40,convnext_tiny_soft_d4_s224_full_bce_nfull_seed0
0.95,convnext_tiny,-0.48369668549566225,-0.43739398895792403,-0.5170880531911466,0.17743724040360803,0.20718907864411668,0.1559815878263181,0.8707860651612281,0.11188307166099548,0.3399497767857143,0.3584442761479592,0.3276201105442177,0.9826691368222237,soft,gradcam,200,convnext_tiny_soft_none_s224_full_bce_nfull_seed0_op
0.915,deit3_small,-0.5719110645824131,-0.5352538977489347,-0.5963491758047321,0.08813915863187258,0.10630182610310612,0.07603071365105021,0.6626595367491245,0.30788298770785333,0.3399497767857143,0.3584442761479592,0.3276201105442177,0.9705425244569779,hard,rollout,200,deit3_small_hard_d4_s224_full_bce_nfull_seed0
